Date;InvToSales
2021-12-01;1,402
2022-01-01;1,383
2022-02-01;1,404
2022-03-01;1,439
2022-04-01;1,446
2022-05-01;1,465
2022-06-01;1,478
2022-07-01;1,469
2022-08-01;1,453
2022-09-01;1,455
